                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     52,               0.021867,                0.01634,               0.030766,                      0,                0.99538,                0.98683,                0.99449,                0.91967,                0.99205,                0.98354,                0.99105,                0.81536,               0.010648,              0.0085591,               0.014347,                      0,              0.0034429,              0.0034429,              0.0034429
                     53,               0.021112,               0.016538,                0.03073,                      0,                0.98854,                0.99413,                0.99451,                0.92327,                0.99335,                0.98392,                0.99442,                0.81519,                0.01061,              0.0081011,               0.014213,                      0,              0.0033143,              0.0033143,              0.0033143
                     54,               0.021242,               0.016535,               0.032617,                      0,                0.99724,                0.98601,                0.99449,                0.91727,                0.99557,                0.98436,                0.99446,                0.82902,               0.010874,              0.0078877,               0.014574,                      0,              0.0031857,              0.0031857,              0.0031857
                     55,               0.020338,               0.016001,               0.031199,                      0,                0.99318,                0.99259,                0.99419,                0.91979,                0.99153,                0.99095,                0.99403,                0.81703,               0.010639,              0.0081476,                0.01453,                      0,              0.0030571,              0.0030571,              0.0030571
                     56,               0.020147,                0.01625,               0.029827,                      0,                0.99668,                0.98819,                0.99393,                0.92076,                0.99253,                0.98407,                0.99156,                 0.8126,               0.010624,               0.008139,               0.014345,                      0,              0.0029286,              0.0029286,              0.0029286
                     57,               0.020513,               0.016112,               0.031451,                      0,                0.99585,                 0.9875,                0.99436,                0.92572,                0.99419,                0.98586,                0.99428,                0.82165,                0.01048,              0.0080269,               0.014106,                      0,                 0.0028,                 0.0028,                 0.0028
                     58,               0.020194,               0.016018,               0.029646,                      0,                0.99622,                0.99012,                0.99467,                0.92715,                0.99376,                0.98683,                0.99444,                0.82823,               0.010195,               0.007827,                0.01389,                      0,              0.0026714,              0.0026714,              0.0026714
                     59,               0.020288,               0.016214,               0.028953,                      0,                0.99504,                0.99095,                0.99451,                 0.9293,                0.99007,                0.98524,                0.99368,                0.82168,               0.010374,              0.0079652,               0.013797,                      0,              0.0025429,              0.0025429,              0.0025429
                     60,               0.020326,               0.015949,               0.030981,                      0,                0.99741,                0.98848,                0.99447,                0.92784,                0.99575,                0.98683,                0.99426,                0.82631,               0.010219,              0.0079383,               0.013817,                      0,              0.0024143,              0.0024143,              0.0024143
                     61,               0.019344,               0.015725,                0.02981,                      0,                0.99129,                 0.9893,                0.99451,                0.92824,                0.99249,                0.97836,                0.99011,                 0.8226,               0.010168,              0.0080001,               0.013832,                      0,              0.0022857,              0.0022857,              0.0022857
                     62,               0.020021,               0.016689,               0.031442,                      0,                0.99586,                0.98922,                 0.9946,                0.93262,                0.99104,                0.98519,                0.99422,                0.82705,               0.010097,               0.007856,               0.013637,                      0,              0.0021571,              0.0021571,              0.0021571
                     63,               0.019031,               0.015509,               0.028165,                      0,                0.99671,                 0.9893,                0.99458,                 0.9314,                0.99422,                0.98683,                0.99433,                0.83144,              0.0099972,              0.0080612,                0.01379,                      0,              0.0020286,              0.0020286,              0.0020286
                     64,               0.019235,               0.016187,               0.029974,                      0,                0.99401,                0.99095,                0.99444,                0.93107,                0.99502,                0.98746,                0.99435,                0.83067,              0.0098901,              0.0077394,               0.013689,                      0,                 0.0019,                 0.0019,                 0.0019
                     65,               0.018772,               0.015637,               0.028697,                      0,                0.99668,                0.98832,                0.99461,                0.93332,                0.99668,                0.98832,                0.99416,                0.82986,              0.0097527,               0.007647,               0.013415,                      0,              0.0017714,              0.0017714,              0.0017714
                     66,               0.019091,               0.015935,               0.029095,                      0,                  0.995,                0.98765,                0.99466,                0.93483,                0.99487,                0.98765,                0.99389,                0.82968,              0.0096633,              0.0073951,               0.013246,                      0,              0.0016429,              0.0016429,              0.0016429
                     67,               0.018407,               0.015199,               0.028699,                      0,                0.99554,                0.98848,                0.99432,                0.93224,                0.99554,                0.98848,                  0.994,                0.83376,              0.0096332,               0.007482,               0.013402,                      0,              0.0015143,              0.0015143,              0.0015143
                     68,               0.018809,               0.015527,                 0.0283,                      0,                0.98917,                0.99259,                0.99443,                0.93565,                0.99358,                0.98765,                0.99443,                0.83447,              0.0095022,              0.0076661,               0.013196,                      0,              0.0013857,              0.0013857,              0.0013857
                     69,                0.01835,                0.01531,               0.027737,                      0,                0.99267,                0.99095,                 0.9945,                0.93651,                0.99102,                 0.9893,                0.99434,                0.83609,              0.0095549,               0.007769,               0.013137,                      0,              0.0012571,              0.0012571,              0.0012571
                     71,                0.99267,                0.99095,                0.99448,                0.93687,                0.99102,                 0.9893,                0.99432,                0.83606,              0.0095561,              0.0077681,               0.013137,                      0
