                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     35,               0.018356,               0.015109,               0.017327,                      0,                 0.9987,                0.99892,                0.99499,                0.95274,                0.99892,                0.99913,                  0.995,                0.80851,              0.0072645,              0.0079174,              0.0060147,                      0,                0.00898,                0.00898,                0.00898
                     36,               0.018378,               0.014711,               0.017173,                      0,                0.99848,                0.99825,                0.99496,                0.95478,                 0.9987,                0.99847,                0.99496,                0.80974,              0.0071485,              0.0079855,              0.0059425,                      0,                0.00895,                0.00895,                0.00895
                     37,               0.018313,                0.01499,               0.017315,                      0,                0.99861,                 0.9987,                0.99484,                0.95506,                0.99883,                0.99892,                0.99485,                0.81119,              0.0071349,              0.0078901,              0.0059735,                      0,                0.00892,                0.00892,                0.00892
                     38,               0.018066,               0.014838,               0.017226,                      0,                0.99848,                 0.9991,                0.99495,                0.95671,                 0.9987,                0.99932,                0.99496,                0.81456,              0.0070042,               0.007853,              0.0058988,                      0,                0.00889,                0.00889,                0.00889
                     39,               0.017821,               0.014688,               0.017143,                      0,                0.99827,                0.99871,                0.99496,                0.95726,                0.99848,                0.99893,                0.99498,                0.81514,              0.0070573,              0.0077952,              0.0058471,                      0,                0.00886,                0.00886,                0.00886
                     40,               0.017877,                0.01479,               0.016818,                      0,                0.99869,                0.99892,                0.99495,                0.95619,                0.99891,                0.99913,                0.99496,                0.81522,              0.0069136,               0.007781,              0.0058695,                      0,                0.00883,                0.00883,                0.00883
                     41,               0.017906,               0.014616,               0.017067,                      0,                0.99901,                0.99848,                0.99499,                0.95968,                0.99923,                 0.9987,                0.99499,                0.81676,              0.0068032,              0.0077286,              0.0058112,                      0,                 0.0088,                 0.0088,                 0.0088
                     42,               0.017383,               0.014401,               0.016792,                      0,                 0.9987,                0.99868,                  0.995,                  0.961,                 0.9987,                0.99868,                0.99499,                0.81556,              0.0067623,              0.0076837,              0.0057272,                      0,                0.00877,                0.00877,                0.00877
                     43,                0.01769,                0.01453,               0.016619,                      0,                0.99848,                0.99853,                0.99496,                0.96022,                 0.9987,                0.99875,                0.99497,                0.81556,              0.0067413,              0.0076269,              0.0057868,                      0,                0.00874,                0.00874,                0.00874
                     44,               0.017385,               0.014508,                0.01686,                      0,                0.99848,                0.99894,                0.99496,                0.96162,                 0.9987,                0.99916,                0.99497,                0.81647,              0.0067338,              0.0076715,              0.0057408,                      0,                0.00871,                0.00871,                0.00871
                     45,               0.017521,               0.014307,               0.016723,                      0,                0.99935,                0.99847,                0.99497,                0.96357,                0.99957,                0.99868,                0.99497,                0.82071,              0.0066387,              0.0076007,              0.0056302,                      0,                0.00868,                0.00868,                0.00868
                     46,               0.017371,                0.01406,               0.016486,                      0,                0.99935,                0.99865,                  0.995,                0.96465,                0.99935,                0.99865,                  0.995,                0.82365,              0.0065489,               0.007561,              0.0055765,                      0,                0.00865,                0.00865,                0.00865
                     47,               0.017255,               0.014513,               0.016366,                      0,                0.99926,                0.99892,                  0.995,                0.96481,                0.99926,                0.99892,                  0.995,                0.82373,              0.0065736,              0.0075318,              0.0055723,                      0,                0.00862,                0.00862,                0.00862
